Entity,Code,Year,"5.1.1 - Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family - SG_LGL_GENEQMAR"
Albania,ALB,2018,90.90909
Albania,ALB,2020,90.90909
Argentina,ARG,2020,90.90909
Armenia,ARM,2018,81.81818
Armenia,ARM,2020,81.81818
Australia,AUS,2018,81.81818
Australia,AUS,2020,81.81818
Australia and New Zealand,,2020,81.81818
Austria,AUT,2020,81.81818
Bangladesh,BGD,2018,63.63636
Bangladesh,BGD,2020,63.63636
Barbados,BRB,2018,72.72727
Barbados,BRB,2020,72.72727
Belarus,BLR,2018,81.81818
Belarus,BLR,2020,81.81818
Bolivia,BOL,2020,72.72727
Brazil,BRA,2018,72.72727
Brazil,BRA,2020,72.72727
Bulgaria,BGR,2018,81.81818
Bulgaria,BGR,2020,81.81818
Cameroon,CMR,2018,9.09091
Cameroon,CMR,2020,9.09091
Cape Verde,CPV,2018,81.81818
Cape Verde,CPV,2020,81.81818
Central and Southern Asia,,2020,74.24242
Chile,CHL,2018,63.63636
Chile,CHL,2020,63.63636
Colombia,COL,2018,90.90909
Colombia,COL,2020,90.90909
Costa Rica,CRI,2018,100
Costa Rica,CRI,2020,100
Cote d'Ivoire,CIV,2018,72.72727
Cote d'Ivoire,CIV,2020,90.90909
Croatia,HRV,2018,81.81818
Croatia,HRV,2020,81.81818
Cyprus,CYP,2020,72.72727
Czechia,CZE,2020,72.72727
Denmark,DNK,2018,90.90909
Denmark,DNK,2020,90.90909
Dominican Republic,DOM,2018,81.81818
Dominican Republic,DOM,2020,81.81818
Eastern and South-Eastern Asia,,2020,77.27273
Ecuador,ECU,2020,100
El Salvador,SLV,2018,100
El Salvador,SLV,2020,100
Estonia,EST,2020,81.81818
Ethiopia,ETH,2020,81.81818
Europe and Northern America,,2020,82.85714
Fiji,FJI,2018,90.90909
Fiji,FJI,2020,90.90909
Finland,FIN,2018,72.72727
Finland,FIN,2020,72.72727
France,FRA,2018,90.90909
France,FRA,2020,90.90909
Germany,DEU,2018,100
Germany,DEU,2020,100
Greece,GRC,2018,72.72727
Greece,GRC,2020,72.72727
Guatemala,GTM,2018,90.90909
Guatemala,GTM,2020,90.90909
Guinea,GIN,2020,72.72727
Honduras,HND,2020,100
Hungary,HUN,2020,81.81818
Iceland,ISL,2020,72.72727
India,IND,2018,100
India,IND,2020,100
Iraq,IRQ,2018,45.45454
Iraq,IRQ,2020,36.36364
Ireland,IRL,2020,81.81818
Israel,ISR,2020,81.81818
Jamaica,JAM,2020,90.90909
Japan,JPN,2020,90.90909
Jordan,JOR,2018,27.27273
Jordan,JOR,2020,27.27273
Kazakhstan,KAZ,2020,81.81818
Kenya,KEN,2018,100
Kenya,KEN,2020,100
Kyrgyzstan,KGZ,2020,81.81818
Landlocked developing countries (LLDCs),,2020,79.02098
Latin America and the Caribbean,,2020,85
Latvia,LVA,2020,81.81818
Least developed countries (LDCs),,2020,74.54545
Lebanon,LBN,2018,70
Lebanon,LBN,2020,70
Lithuania,LTU,2018,72.72727
Lithuania,LTU,2020,72.72727
Luxembourg,LUX,2020,72.72727
Madagascar,MDG,2018,72.72727
Madagascar,MDG,2020,72.72727
Malawi,MWI,2020,72.72727
Malaysia,MYS,2018,63.63636
Malaysia,MYS,2020,63.63636
Malta,MLT,2020,81.81818
Mauritius,MUS,2020,81.81818
Mexico,MEX,2018,100
Mexico,MEX,2020,100
Moldova,MDA,2020,81.81818
Montenegro,MNE,2020,81.81818
Morocco,MAR,2020,63.63636
Mozambique,MOZ,2018,81.81818
Mozambique,MOZ,2020,81.81818
Namibia,NAM,2020,72.72727
Nepal,NPL,2020,63.63636
Netherlands,NLD,2018,90.90909
Netherlands,NLD,2020,90.90909
New Zealand,NZL,2020,81.81818
Nigeria,NGA,2018,81.81818
Nigeria,NGA,2020,81.81818
North Macedonia,MKD,2020,81.81818
Northern Africa and Western Asia,,2020,59.29293
Norway,NOR,2020,81.81818
Oceania (exc. Australia and New Zealand),,2020,90.90909
Pakistan,PAK,2018,54.54546
Pakistan,PAK,2020,54.54546
Palestine,PSE,2018,54.54546
Palestine,PSE,2020,54.54546
Panama,PAN,2018,100
Panama,PAN,2020,100
Paraguay,PRY,2018,81.81818
Paraguay,PRY,2020,81.81818
Peru,PER,2018,81.81818
Peru,PER,2020,81.81818
Philippines,PHL,2018,45.45454
Philippines,PHL,2020,45.45454
Poland,POL,2020,90.90909
Portugal,PRT,2020,90.90909
Romania,ROU,2020,81.81818
Rwanda,RWA,2020,81.81818
Serbia,SRB,2018,72.72727
Serbia,SRB,2020,72.72727
Slovakia,SVK,2020,81.81818
Slovenia,SVN,2018,81.81818
Slovenia,SVN,2020,81.81818
Small Island Developing States (SIDS),,2020,79.54545
South Korea,KOR,2020,90.90909
Spain,ESP,2018,81.81818
Spain,ESP,2020,81.81818
Sub-Saharan Africa,,2020,76.13636
Suriname,SUR,2020,54.54546
Sweden,SWE,2018,90.90909
Sweden,SWE,2020,90.90909
Switzerland,CHE,2020,90.90909
Tanzania,TZA,2018,72.72727
Tanzania,TZA,2020,72.72727
Thailand,THA,2020,81.81818
Trinidad and Tobago,TTO,2018,81.81818
Trinidad and Tobago,TTO,2020,81.81818
Uganda,UGA,2018,72.72727
Uganda,UGA,2020,81.81818
Ukraine,UKR,2018,81.81818
Ukraine,UKR,2020,81.81818
United Arab Emirates,ARE,2018,27.27273
United Arab Emirates,ARE,2020,45.45454
United Kingdom,GBR,2018,90.90909
United Kingdom,GBR,2020,90.90909
Uruguay,URY,2020,72.72727
Vietnam,VNM,2018,90.90909
Vietnam,VNM,2020,90.90909
World,OWID_WRL,2018,77.13551
World,OWID_WRL,2020,79.11005
Zimbabwe,ZWE,2020,81.81818
