Entity,Code,Year,"4.a.1 - Proportion of schools with access to access to single-sex basic sanitation, by education level (%) - SE_ACS_SANIT - Primary","4.a.1 - Proportion of schools with access to access to single-sex basic sanitation, by education level (%) - SE_ACS_SANIT - Lower secondary","4.a.1 - Proportion of schools with access to access to single-sex basic sanitation, by education level (%) - SE_ACS_SANIT - Upper secondary"
Afghanistan,AFG,2016,26.60464,,
Afghanistan,AFG,2017,26.0573,56.78368,74.37512
Afghanistan,AFG,2018,25.66295,55.88444,74.5747
Albania,ALB,2018,82.75689,95.39033,89.89899
Albania,ALB,2019,73.79973,95.11426,89.53722
Albania,ALB,2017,,,82.93651
Andorra,AND,2016,100,100,100
Andorra,AND,2017,100,100,100
Andorra,AND,2018,100,100,100
Andorra,AND,2019,100,100,100
Anguilla,AIA,2019,100,100,100
Antigua and Barbuda,ATG,2017,100,100,100
Antigua and Barbuda,ATG,2018,100,100,100
Australia,AUS,2000,100,100,100
Australia,AUS,2001,100,100,100
Australia,AUS,2002,100,100,100
Australia,AUS,2003,100,100,100
Australia,AUS,2004,100,100,100
Australia,AUS,2005,100,100,100
Australia,AUS,2006,100,100,100
Australia,AUS,2007,100,100,100
Australia,AUS,2008,100,100,100
Australia,AUS,2009,100,100,100
Australia,AUS,2010,100,100,100
Australia,AUS,2011,100,100,100
Australia,AUS,2012,100,100,100
Australia,AUS,2013,100,100,100
Australia,AUS,2014,100,100,100
Australia,AUS,2015,100,100,100
Australia,AUS,2016,100,100,100
Australia and New Zealand,,2000,97.88331,98.70321,99.45947
Australia and New Zealand,,2001,97.88269,98.70286,99.45935
Australia and New Zealand,,2002,97.88354,98.70287,99.45938
Australia and New Zealand,,2003,97.88249,98.70252,99.4593
Australia and New Zealand,,2004,97.88319,98.70254,99.45927
Australia and New Zealand,,2005,97.88388,98.70222,99.45924
Australia and New Zealand,,2006,97.8826,98.70203,99.45914
Australia and New Zealand,,2007,97.87884,98.70159,99.45893
Australia and New Zealand,,2008,97.86982,98.70122,99.4588
Australia and New Zealand,,2009,97.86718,98.70114,99.45886
Australia and New Zealand,,2010,97.86432,98.70409,99.46097
Australia and New Zealand,,2011,97.85978,98.7026,99.46039
Australia and New Zealand,,2012,97.87078,98.70105,99.45976
Australia and New Zealand,,2013,97.83325,98.69997,99.46045
Australia and New Zealand,,2014,97.79922,98.69924,99.46127
Australia and New Zealand,,2015,97.76763,98.69873,99.46217
Australia and New Zealand,,2016,97.73573,98.69824,99.4631
Australia and New Zealand,,2017,97.33713,98.61528,99.30994
Azerbaijan,AZE,2016,100,100,100
Azerbaijan,AZE,2017,100,100,100
Azerbaijan,AZE,2018,100,100,100
Azerbaijan,AZE,2019,100,100,100
Bahrain,BHR,2016,100,100,100
Bahrain,BHR,2017,100,100,100
Bahrain,BHR,2018,100,100,100
Bahrain,BHR,2019,100,100,100
Bangladesh,BGD,2016,36.57939,,
