Entity,Code,Year,"4.a.1 - Proportion of schools with access to computers for pedagogical purposes, by education level (%) - SE_ACS_CMPTR - Primary","4.a.1 - Proportion of schools with access to computers for pedagogical purposes, by education level (%) - SE_ACS_CMPTR - Lower secondary","4.a.1 - Proportion of schools with access to computers for pedagogical purposes, by education level (%) - SE_ACS_CMPTR - Upper secondary"
Albania,ALB,2018,50.37594,71.30112,81.61616
Albania,ALB,2019,49.01692,82.82112,81.69014
Albania,ALB,2017,,,83.13492
Andorra,AND,2016,100,100,100
Andorra,AND,2017,100,100,100
Andorra,AND,2018,100,100,100
Andorra,AND,2019,100,100,100
Angola,AGO,2016,7.01911,25.33512,48.81356
Anguilla,AIA,2019,100,100,100
Anguilla,AIA,2010,,100,100
Antigua and Barbuda,ATG,2018,90,100,100
Antigua and Barbuda,ATG,2017,,90.90909,90.90909
Argentina,ARG,2009,37.78339,53.99349,77.04548
Argentina,ARG,2015,58.65497,72.25478,75.20627
Argentina,ARG,2016,61.82755,70.44686,73.74983
Argentina,ARG,2017,64.51513,63.43094,66.50103
Argentina,ARG,2018,65.33126,56.94223,60.14172
Armenia,ARM,2018,100,100,100
Armenia,ARM,2019,100,100,100
Aruba,ABW,2010,100,100,100
Australia,AUS,2000,100,100,100
Australia,AUS,2001,100,100,100
Australia,AUS,2002,100,100,100
Australia,AUS,2003,100,100,100
Australia,AUS,2004,100,100,100
Australia,AUS,2005,100,100,100
Australia,AUS,2006,100,100,100
Australia,AUS,2007,100,100,100
Australia,AUS,2008,100,100,100
Australia,AUS,2009,100,100,100
Australia,AUS,2010,100,100,100
Australia,AUS,2011,100,100,100
Australia,AUS,2012,100,100,100
Australia,AUS,2013,100,100,100
Australia,AUS,2014,100,100,100
Australia,AUS,2015,100,100,100
Australia,AUS,2016,100,100,100
Australia and New Zealand,,2000,94.64903,97.48361,98.94265
Australia and New Zealand,,2001,94.64745,97.48293,98.94241
Australia and New Zealand,,2002,94.6496,97.48294,98.94247
Australia and New Zealand,,2003,94.64696,97.48226,98.94231
Australia and New Zealand,,2004,94.64871,97.4823,98.94226
Australia and New Zealand,,2005,94.65046,97.48168,98.9422
Australia and New Zealand,,2006,94.64723,97.48131,98.94199
Australia and New Zealand,,2007,94.63772,97.48046,98.9416
Australia and New Zealand,,2008,94.61491,97.47974,98.94133
Australia and New Zealand,,2009,94.60825,97.47958,98.94145
Australia and New Zealand,,2010,94.60103,97.4853,98.94558
Australia and New Zealand,,2011,94.58953,97.48242,98.94444
Australia and New Zealand,,2012,94.61734,97.4794,98.94321
Australia and New Zealand,,2013,94.52247,97.47731,98.94456
Australia and New Zealand,,2014,94.43645,97.4759,98.94617
Australia and New Zealand,,2015,94.3566,97.47491,98.94792
Australia and New Zealand,,2016,94.27594,97.47395,98.94975
Australia and New Zealand,,2017,94.9977,97.6161,98.93216
Azerbaijan,AZE,2016,94.28507,97.76916,98.73303
Azerbaijan,AZE,2017,93.93531,97.33139,98.28158
Azerbaijan,AZE,2018,94.38936,97.13244,98.37202
Azerbaijan,AZE,2019,94.88624,97.40165,98.4041
Bahrain,BHR,2016,100,100,100
Bahrain,BHR,2017,100,100,100
Bahrain,BHR,2018,100,100,100
Bahrain,BHR,2019,100,100,100
Bangladesh,BGD,2016,17.90941,81.20444,81.34418
Bangladesh,BGD,2017,,82.29906,81.89055
Bangladesh,BGD,2018,,83.24924,83.6022
Belarus,BLR,2016,100,100,100
Belarus,BLR,2017,99.9678,100,100
Belarus,BLR,2018,100,100,100
Belgium,BEL,2010,100,100,100
Belgium,BEL,2012,100,100,100
Belgium,BEL,2013,100,100,100
Belgium,BEL,2014,100,100,100
Belgium,BEL,2015,100,100,100
Belgium,BEL,2016,100,100,100
Belgium,BEL,2017,100,100,100
Belgium,BEL,2018,100,100,100
Bermuda,BMU,2016,100,100,100
Bhutan,BTN,2015,14.45783,,86.2069
Bhutan,BTN,2020,20.55838,,
Bhutan,BTN,2018,,97.88732,98.3871
Bolivia,BOL,2013,14.4127,23.0826,27.88738
Botswana,BWA,2012,,100,100
Brazil,BRA,2010,40.486,72.04891,90.43665
Brazil,BRA,2017,53.54419,72.60794,85.54521
British Virgin Islands,VGB,2010,100,100,100
British Virgin Islands,VGB,2016,77.77778,100,100
British Virgin Islands,VGB,2017,88.88889,100,100
British Virgin Islands,VGB,2018,100,100,100
Brunei,BRN,2016,,100,100
Brunei,BRN,2017,,100,100
Brunei,BRN,2018,,100,100
Brunei,BRN,2019,,100,100
Burkina Faso,BFA,2016,0,0,0
Burkina Faso,BFA,2018,0.31734,0,0
Burkina Faso,BFA,2019,5.9824,0,0
Burundi,BDI,2016,0,0,17.12329
Burundi,BDI,2017,0,0,17.12329
Burundi,BDI,2018,0,,17.12329
Burundi,BDI,2019,0,0,
Cameroon,CMR,2016,,72.187,84.16124
Cape Verde,CPV,2017,40.7767,100,100
Cape Verde,CPV,2018,41.95122,,
Cape Verde,CPV,2016,,100,100
Cayman Islands,CYM,2010,76.92308,,
Cayman Islands,CYM,2018,100,100,100
Central Asia,,2016,96.24215,95.49526,
Central Asia,,2017,96.18768,95.46288,
Central Asia,,2018,96.06429,95.27777,95.55289
Central Asia,,2019,96.11803,,95.49235
Central and Southern Asia,,2015,16.50061,42.83435,70.27049
Central and Southern Asia,,2016,16.9976,43.25833,70.07836
Central and Southern Asia,,2017,15.3484,,58.10899
Central and Southern Asia,,2018,13.61963,,46.10209
Central and Southern Asia,,2019,21.69899,45.10655,71.91943
Chad,TCD,2017,,6.13497,19.83122
China,CHN,2016,89.41346,98.28642,94.95821
China,CHN,2017,94.23699,98.7912,94.71906
China,CHN,2018,97.08219,98.83416,96.15702
China,CHN,2019,98.30543,98.97272,95.76901
"China, Hong Kong Special Administrative Region",,2016,99.20509,94.11765,94.09836
"China, Hong Kong Special Administrative Region",,2017,98.89241,95.3411,95.32554
"China, Hong Kong Special Administrative Region",,2018,99.21753,95.19071,95.17471
"China, Hong Kong Special Administrative Region",,2019,99.3808,95.88336,95.32554
Colombia,COL,2016,90.052,93.5857,94.0365
Colombia,COL,2017,93.35875,96.26837,96.71178
Colombia,COL,2019,93.99834,97.77212,97.32526
Comoros,COM,2017,30.83942,40.51095,52.45098
Congo,COG,2018,12.23881,20.38345,61.17216
Cook Islands,COK,2016,100,100,100
Cook Islands,COK,2019,100,100,100
Costa Rica,CRI,2017,80.10661,67.64428,67.62402
Costa Rica,CRI,2018,63.35805,66.85499,66.72459
Costa Rica,CRI,2019,95.09069,87.64045,86.89362
Costa Rica,CRI,2016,,60.53384,60.56338
Cote d'Ivoire,CIV,2019,,,86.08414
Cuba,CUB,2010,100,100,100
Cuba,CUB,2018,100,100,100
Cuba,CUB,2019,100,100,100
Democratic Republic of Congo,COD,2015,0,0,0
Denmark,DNK,2001,100,100,
Denmark,DNK,2002,100,100,
Denmark,DNK,2003,100,100,
Denmark,DNK,2004,100,100,
Denmark,DNK,2005,100,100,
Denmark,DNK,2006,100,100,
Denmark,DNK,2007,100,100,
Denmark,DNK,2008,100,100,
Denmark,DNK,2009,100,100,
Denmark,DNK,2010,100,100,
Denmark,DNK,2011,100,100,
Denmark,DNK,2012,100,100,
Denmark,DNK,2013,100,100,
Denmark,DNK,2014,100,100,
Denmark,DNK,2015,100,100,100
Denmark,DNK,2016,100,100,
Dominica,DMA,2010,70.96774,93.33333,
Dominica,DMA,2016,100,93.33333,93.33333
Dominica,DMA,2019,100,100,100
Eastern Asia,,2015,88.20727,95.44485,92.50525
Eastern Asia,,2016,88.18914,95.39839,92.53342
Eastern Asia,,2017,92.09616,95.72916,92.56104
Eastern Asia,,2018,94.46448,95.71915,93.34064
Eastern Asia,,2019,95.41103,95.84218,93.10628
Eastern and South-Eastern Asia,,2015,65.3136,76.96127,78.31252
Eastern and South-Eastern Asia,,2016,64.70434,76.03278,78.49214
Eastern and South-Eastern Asia,,2017,66.09652,74.22614,78.26493
Eastern and South-Eastern Asia,,2018,69.10152,75.60404,77.86125
Eastern and South-Eastern Asia,,2019,69.2132,75.68712,77.84696
Ecuador,ECU,2009,51.98798,86.85662,94.26599
Ecuador,ECU,2016,73.38367,92.02425,96.57734
Ecuador,ECU,2017,74.26351,92.12636,96.43772
Ecuador,ECU,2018,74.87427,92.3499,96.56985
Egypt,EGY,2010,86.34889,97.69637,91.12693
Egypt,EGY,2016,76.29472,93.32184,89.68037
Egypt,EGY,2017,78.25101,94.84732,91.22566
Egypt,EGY,2019,94.72969,,
El Salvador,SLV,2010,59.03903,80.55817,96.9457
El Salvador,SLV,2016,48.31208,68.15677,
El Salvador,SLV,2017,54.71273,,
El Salvador,SLV,2018,61.0392,79.36073,96.05263
Estonia,EST,2000,100,100,100
Estonia,EST,2001,100,100,100
Estonia,EST,2002,100,100,100
Estonia,EST,2003,100,100,100
Estonia,EST,2004,100,100,100
Estonia,EST,2005,100,100,100
Estonia,EST,2006,100,100,100
Estonia,EST,2007,100,100,100
Estonia,EST,2008,100,100,100
Estonia,EST,2009,100,100,100
Estonia,EST,2010,100,100,100
Estonia,EST,2011,100,100,100
Estonia,EST,2012,100,100,100
Estonia,EST,2013,100,100,100
Estonia,EST,2014,100,100,100
Estonia,EST,2015,100,100,100
Estonia,EST,2016,100,100,100
Eswatini,SWZ,2016,14.95177,93.7931,93.7931
