Entity,Code,Year,"4.a.1 - Proportion of schools with basic handwashing facilities, by education level (%) - SE_ACC_HNDWSH - Primary","4.a.1 - Proportion of schools with basic handwashing facilities, by education level (%) - SE_ACC_HNDWSH - Lower secondary","4.a.1 - Proportion of schools with basic handwashing facilities, by education level (%) - SE_ACC_HNDWSH - Upper secondary"
Afghanistan,AFG,2016,2.5548,6.91884,14.05174
Afghanistan,AFG,2017,3.07716,6.71252,12.3866
Afghanistan,AFG,2018,4.63701,7.74331,13.09172
Albania,ALB,2018,71.02757,89.73978,85.45455
Albania,ALB,2019,63.32876,95.11426,85.11066
Albania,ALB,2017,,,79.96032
Andorra,AND,2016,100,100,100
Andorra,AND,2017,100,100,100
Andorra,AND,2018,100,100,100
Andorra,AND,2019,100,100,100
Anguilla,AIA,2019,100,100,100
Antigua and Barbuda,ATG,2017,98.3871,100,100
Antigua and Barbuda,ATG,2018,100,100,100
Australia,AUS,2000,100,100,100
Australia,AUS,2001,100,100,100
Australia,AUS,2002,100,100,100
Australia,AUS,2003,100,100,100
Australia,AUS,2004,100,100,100
Australia,AUS,2005,100,100,100
Australia,AUS,2006,100,100,100
Australia,AUS,2007,100,100,100
Australia,AUS,2008,100,100,100
Australia,AUS,2009,100,100,100
Australia,AUS,2010,100,100,100
Australia,AUS,2011,100,100,100
Australia,AUS,2012,100,100,100
Australia,AUS,2013,100,100,100
Australia,AUS,2014,100,100,100
Australia,AUS,2015,100,100,100
Australia,AUS,2016,100,100,100
Australia and New Zealand,,2000,98.96093,99.79237,99.80112
Australia and New Zealand,,2001,98.96063,99.79232,99.80107
Australia and New Zealand,,2002,98.96105,99.79232,99.80109
Australia and New Zealand,,2003,98.96053,99.79226,99.80106
Australia and New Zealand,,2004,98.96087,99.79226,99.80105
Australia and New Zealand,,2005,98.96121,99.79221,99.80104
Australia and New Zealand,,2006,98.96058,99.79218,99.801
Australia and New Zealand,,2007,98.95874,99.79211,99.80092
Australia and New Zealand,,2008,98.95431,99.79205,99.80087
Australia and New Zealand,,2009,98.95302,99.79204,99.80089
Australia and New Zealand,,2010,98.95161,99.79251,99.80167
Australia and New Zealand,,2011,98.94938,99.79227,99.80146
Australia and New Zealand,,2012,98.95478,99.79203,99.80123
Australia and New Zealand,,2013,98.93636,99.79185,99.80148
Australia and New Zealand,,2014,98.91965,99.79174,99.80178
Australia and New Zealand,,2015,98.90415,99.79166,99.80211
Australia and New Zealand,,2016,98.88849,99.79158,99.80245
Australia and New Zealand,,2017,98.88791,99.791,99.80289
Azerbaijan,AZE,2016,100,100,100
Azerbaijan,AZE,2017,100,100,100
Azerbaijan,AZE,2018,100,100,100
Azerbaijan,AZE,2019,100,100,100
Bahrain,BHR,2016,100,100,100
Bahrain,BHR,2017,100,100,100
Bahrain,BHR,2018,100,100,100
Bahrain,BHR,2019,100,100,100
Bangladesh,BGD,2016,29.01236,30.25603,30.43244
Bangladesh,BGD,2018,,49.6619,54.93566
Barbados,BRB,2015,100,100,100
Barbados,BRB,2016,100,100,100
Barbados,BRB,2017,100,100,100
Barbados,BRB,2018,100,100,100
Barbados,BRB,2019,100,100,100
Belarus,BLR,2016,100,100,100
Belarus,BLR,2017,100,100,100
Belarus,BLR,2018,100,100,100
Belgium,BEL,2003,100,100,100
Belgium,BEL,2004,100,100,100
Belgium,BEL,2005,100,100,100
Belgium,BEL,2006,100,100,100
Belgium,BEL,2007,100,100,100
Belgium,BEL,2008,100,100,100
Belgium,BEL,2009,100,100,100
Belgium,BEL,2010,100,100,100
Belgium,BEL,2011,100,100,100
Belgium,BEL,2012,100,100,100
Belgium,BEL,2013,100,100,100
Belgium,BEL,2014,100,100,100
Belgium,BEL,2015,100,100,100
Belgium,BEL,2016,100,100,100
Belgium,BEL,2017,100,100,100
Belgium,BEL,2018,100,100,100
Bermuda,BMU,2016,100,100,100
Bolivia,BOL,2013,19.16755,24.41003,26.20222
Brazil,BRA,2017,95.33422,97.96936,99.59381
British Virgin Islands,VGB,2016,100,100,100
British Virgin Islands,VGB,2017,81.48148,100,100
British Virgin Islands,VGB,2018,91.30435,100,100
Brunei,BRN,2016,100,100,100
Brunei,BRN,2017,100,100,100
Brunei,BRN,2018,100,100,100
Brunei,BRN,2019,100,100,100
Burkina Faso,BFA,2016,18.3828,,
Burkina Faso,BFA,2017,29.55643,,
Burkina Faso,BFA,2018,29.53795,,
Burkina Faso,BFA,2019,28.90844,66.13475,47.95055
Burundi,BDI,2016,20.26742,11.83705,21.91781
Burundi,BDI,2017,20.73142,11.94725,21.91781
