Entity,Code,Year,12.1.1 - Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO) - SG_SCP_CNTRY
Albania,ALB,2019,1
Americas,,2017,4
Americas,,2019,5
Americas,,2020,5
Americas,,2021,4
Antigua and Barbuda,ATG,2017,1
Argentina,ARG,2020,1
Austria,AUT,2017,1
Azerbaijan,AZE,2017,1
Bahrain,BHR,2017,1
Barbados,BRB,2020,1
Belgium,BEL,2021,1
Bhutan,BTN,2019,1
Brazil,BRA,2017,1
Bulgaria,BGR,2021,1
Burkina Faso,BFA,2017,1
Caribbean,,2017,3
Caribbean,,2020,2
Chad,TCD,2021,1
Chile,CHL,2021,1
China,CHN,2019,1
Colombia,COL,2019,1
Comoros,COM,2017,1
Costa Rica,CRI,2021,1
Cote d'Ivoire,CIV,2020,1
Croatia,HRV,2021,1
Cuba,CUB,2019,1
Czechia,CZE,2019,1
Democratic Republic of Congo,COD,2021,1
Dominican Republic,DOM,2017,1
Eastern Asia,,2019,3
Eastern Europe,,2020,3
Eastern Europe,,2021,3
Ecuador,ECU,2019,1
El Salvador,SLV,2019,1
Ethiopia,ETH,2017,1
Europe,,2017,4
Europe,,2019,3
Europe,,2020,7
Europe,,2021,12
Europe and Northern America,,2017,4
Europe and Northern America,,2019,3
Europe and Northern America,,2020,7
Europe and Northern America,,2021,13
Finland,FIN,2020,1
France,FRA,2020,1
Germany,DEU,2021,1
Guatemala,GTM,2019,1
Honduras,HND,2021,1
Hungary,HUN,2021,1
India,IND,2019,1
Indonesia,IDN,2020,1
Israel,ISR,2017,1
Italy,ITA,2017,1
Jamaica,JAM,2017,1
Jordan,JOR,2021,1
Kazakhstan,KAZ,2017,1
Kenya,KEN,2017,1
Laos,LAO,2017,1
Latin America and the Caribbean,,2017,4
Latin America and the Caribbean,,2019,5
Latin America and the Caribbean,,2020,5
Latin America and the Caribbean,,2021,3
Latvia,LVA,2020,1
Lithuania,LTU,2019,1
Madagascar,MDG,2017,1
Malaysia,MYS,2017,1
Maldives,MDV,2019,1
Mauritius,MUS,2017,1
Mexico,MEX,2020,1
Moldova,MDA,2017,1
Mongolia,MNG,2019,1
Montenegro,MNE,2017,1
Morocco,MAR,2021,1
Netherlands,NLD,2020,1
Northern Europe,,2021,3
Norway,NOR,2021,1
Pakistan,PAK,2019,1
Palestine,PSE,2017,1
Peru,PER,2020,1
Philippines,PHL,2021,1
Poland,POL,2020,1
Romania,ROU,2020,1
Saint Lucia,LCA,2020,1
Sao Tome and Principe,STP,2021,1
Senegal,SEN,2020,1
Serbia,SRB,2021,1
Singapore,SGP,2020,1
Slovakia,SVK,2021,1
Slovenia,SVN,2021,1
Small Island Developing States (SIDS),,2017,5
South Africa,ZAF,2021,1
South Korea,KOR,2019,1
Southern Asia,,2019,4
Sri Lanka,LKA,2021,1
Sweden,SWE,2021,1
Switzerland,CHE,2021,1
Tanzania,TZA,2017,1
Thailand,THA,2021,1
Togo,TGO,2017,1
Tunisia,TUN,2021,1
Turkey,TUR,2021,1
Uganda,UGA,2017,1
Ukraine,UKR,2020,1
United Arab Emirates,ARE,2020,1
United Kingdom,GBR,2021,1
United States,USA,2021,1
Western Europe,,2017,1
Western Europe,,2020,2
Western Europe,,2021,3
World,OWID_WRL,2017,26
World,OWID_WRL,2019,15
World,OWID_WRL,2020,17
World,OWID_WRL,2021,27
Yemen,YEM,2017,1
Zimbabwe,ZWE,2017,1
