Entity,Code,Year,6.5.2 - Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%) - EG_TBA_H2CO,6.5.2 - Proportion of transboundary aquifers with an operational arrangement for water cooperation (%) - EG_TBA_H2COAQ,6.5.2 - Proportion of transboundary river and lake basins with an operational arrangement for water cooperation (%) - EG_TBA_H2CORL
Afghanistan,AFG,2017,,,51.69
Afghanistan,AFG,2020,,,51.66
Albania,ALB,2017,75.58,89.32,66.82
Albania,ALB,2020,54.49,51.67,56.01
Algeria,DZA,2020,57.54,58.32,0
Algeria,DZA,2017,,,0
Andorra,AND,2020,4.38,,4.38
Andorra,AND,2017,,,4.38
Angola,AGO,2017,79,15.24,100
Angola,AGO,2020,78.84,15.24,100
Argentina,ARG,2020,60.41,0,99.57
Armenia,ARM,2017,0.12,0,0.13
Armenia,ARM,2020,11.34,0,12.41
Austria,AUT,2017,100,100,100
Austria,AUT,2020,100,100,100
Azerbaijan,AZE,2020,21.73,3.86,27.75
Belarus,BLR,2020,67.43,67.43,67.43
Belgium,BEL,2017,100,100,100
Belgium,BEL,2020,100,100,100
Benin,BEN,2017,81.46,49.15,96.29
Benin,BEN,2020,83.33,58.47,98.3
Bolivia,BOL,2022,65.74,11.3,94.57
Bosnia and Herzegovina,BIH,2017,92.6,73.32,96.14
Bosnia and Herzegovina,BIH,2020,92.6,73.32,96.14
Botswana,BWA,2017,100,100,100
Botswana,BWA,2020,100,100,100
Brazil,BRA,2017,62.36,0,98.17
Brazil,BRA,2020,62.36,0,98.17
Brunei,BRN,2020,0,0,0
Bulgaria,BGR,2017,99.55,98,100
Bulgaria,BGR,2020,99.55,97.59,100
Burkina Faso,BFA,2017,,,93.58
Burkina Faso,BFA,2020,,,93.57
Burundi,BDI,2017,88.34,79.39,92.03
Burundi,BDI,2020,88.34,79.39,92.03
Cambodia,KHM,2020,56,0,100
Cameroon,CMR,2018,88.57,96.32,86.58
Cameroon,CMR,2020,88.25,92.55,87.2
Canada,CAN,2017,88,0,100
Canada,CAN,2020,80.22,0,91.27
Chad,TCD,2017,50.41,53.09,48.29
Chad,TCD,2020,44.42,53.18,35.85
Chile,CHL,2017,0,0,0
Chile,CHL,2020,87.21,0,87.21
Colombia,COL,2017,,,1.08
Colombia,COL,2020,,,1.08
Costa Rica,CRI,2020,9,0,9.04
Cote d'Ivoire,CIV,2017,,,18.04
Cote d'Ivoire,CIV,2020,,,18.04
Croatia,HRV,2020,100,100,100
Croatia,HRV,2017,,,100
Czechia,CZE,2017,100,100,100
Czechia,CZE,2020,100,100,100
Democratic Republic of Congo,COD,2017,,,99.61
Democratic Republic of Congo,COD,2020,,,99.61
Denmark,DNK,2020,100,,100
Dominican Republic,DOM,2017,0,0,0
Dominican Republic,DOM,2020,0,0,0
Ecuador,ECU,2017,100,100,100
Ecuador,ECU,2020,100,100,100
Egypt,EGY,2020,,,100
El Salvador,SLV,2017,0,0,0
El Salvador,SLV,2020,0.07,0.64,0
Equatorial Guinea,GNQ,2017,0,,0
Equatorial Guinea,GNQ,2020,0,,0
Estonia,EST,2017,100,100,100
Estonia,EST,2020,100,100,100
Eswatini,SWZ,2020,91.91,0,100
Ethiopia,ETH,2020,,,49.51
Finland,FIN,2017,100,,100
Finland,FIN,2020,100,,100
France,FRA,2020,56.54,,56.54
France,FRA,2017,,,53.1
Gabon,GAB,2017,0,0,0
Gabon,GAB,2020,0,0,0
Gambia,GMB,2017,48.99,0,98.98
Gambia,GMB,2020,46.86,0,90.65
Georgia,GEO,2017,0,0,0
Georgia,GEO,2020,0,0,0
Germany,DEU,2017,100,100,100
Germany,DEU,2020,100,100,100
Ghana,GHA,2017,91.05,95.68,88.36
Ghana,GHA,2020,91.05,95.68,88.36
Greece,GRC,2018,32.76,1,
Greece,GRC,2020,32.76,1.03,58.14
Greece,GRC,2017,,,58.14
Guinea,GIN,2017,,,66.78
Guinea,GIN,2020,,,66.78
Guinea-Bissau,GNB,2020,42.86,0,100
Guyana,GUY,2020,5.94,0,8.35
Honduras,HND,2017,0,0,0
Honduras,HND,2020,0,0,0
Hungary,HUN,2017,100,100,100
Hungary,HUN,2020,100,100,100
Indonesia,IDN,2020,1.22,0,89.93
Iraq,IRQ,2017,13.55,0,17.34
Iraq,IRQ,2020,10.61,0,15.04
Ireland,IRL,2017,100,100,100
Ireland,IRL,2020,100,100,100
Italy,ITA,2017,100,100,100
Italy,ITA,2020,100,100,100
Jordan,JOR,2017,21.91,13.91,61.69
Jordan,JOR,2020,23.23,14.92,61.69
Kazakhstan,KAZ,2017,72,0,100
Kazakhstan,KAZ,2020,63.22,0,100
Kenya,KEN,2017,26.75,0,35.91
Kenya,KEN,2020,26.75,0,35.91
Kyrgyzstan,KGZ,2020,27.2,0,29.91
Laos,LAO,2020,,,92.92
Latvia,LVA,2017,97,95.04,100
Latvia,LVA,2020,97.29,94.52,100
Lebanon,LBN,2020,,,76.42
Lesotho,LSO,2017,50,0,100
Lesotho,LSO,2020,50,0,100
Libya,LBY,2020,97.96,97.96,
Liechtenstein,LIE,2020,100,100,100
Lithuania,LTU,2017,34.96,50.17,26.83
Lithuania,LTU,2020,34.06,50.17,25.69
Luxembourg,LUX,2017,100,100,100
Luxembourg,LUX,2020,100,100,100
Malawi,MWI,2020,61.4,4.45,93.14
Malaysia,MYS,2020,1.73,0,13.22
Malaysia,MYS,2017,,,13.38
Mali,MLI,2017,75.35,60.67,99.91
Mali,MLI,2020,75.35,60.67,99.91
Mexico,MEX,2017,1.31,0,2.33
Mexico,MEX,2020,38.57,21.67,49.65
Moldova,MDA,2018,95.81,100,93.33
Moldova,MDA,2020,100,100,100
Mongolia,MNG,2020,100,100,100
Montenegro,MNE,2017,79.51,0,84.24
Montenegro,MNE,2020,66.68,20.19,84.8
Morocco,MAR,2017,0,0,0
Morocco,MAR,2020,0,0,0
Myanmar,MMR,2020,20.02,0,24.78
Namibia,NAM,2017,100,100,100
Namibia,NAM,2020,100,100,100
Netherlands,NLD,2017,100,100,100
Netherlands,NLD,2020,100,100,100
Nicaragua,NIC,2020,,,0
Niger,NER,2017,90,74.99,100
Niger,NER,2020,85.66,81.23,89.39
Nigeria,NGA,2017,,,100
Nigeria,NGA,2020,,,100
North Macedonia,MKD,2020,12.94,12.22,13.24
North Macedonia,MKD,2017,,,13.58
Norway,NOR,2017,59.47,54.41,59.55
Norway,NOR,2020,89.45,88.31,89.46
Panama,PAN,2018,9.13,0,9.31
Panama,PAN,2020,9.13,0,9.31
Paraguay,PRY,2017,50.86,0,100
Paraguay,PRY,2020,50.86,0,100
Peru,PER,2017,,,14.11
Peru,PER,2020,,,14.11
Poland,POL,2020,55.68,100,48.08
Poland,POL,2017,,100,72.35
Portugal,PRT,2020,100,,100
Portugal,PRT,2017,,,100
Qatar,QAT,2017,0,0,
Qatar,QAT,2020,0,0,
Romania,ROU,2017,100,100,100
Romania,ROU,2020,100,100,100
Rwanda,RWA,2020,47.9,0,100
Senegal,SEN,2017,34,0,100
Senegal,SEN,2020,35.21,0,100
Serbia,SRB,2017,90.01,78.09,92.3
Serbia,SRB,2020,89.65,73.73,92.51
Sierra Leone,SLE,2017,7.02,,7.02
Sierra Leone,SLE,2020,7.02,,7.02
Slovakia,SVK,2017,100,100,100
Slovakia,SVK,2020,80.92,21.94,100
Slovenia,SVN,2017,100,100,100
Slovenia,SVN,2020,100,100,100
Somalia,SOM,2017,0,0,0
Somalia,SOM,2020,0,0,0
South Africa,ZAF,2020,94.91,45.12,100
South Africa,ZAF,2017,,,100
South Korea,KOR,2017,0,0,0
South Korea,KOR,2020,0,0,0
Spain,ESP,2020,100,,100
Spain,ESP,2017,,,100
Suriname,SUR,2020,0,0,0
Sweden,SWE,2018,78,,78.04
Sweden,SWE,2020,100,100,100
Sweden,SWE,2017,,100,
Switzerland,CHE,2020,90.23,74.11,93.5
Switzerland,CHE,2017,,,93.5
Thailand,THA,2020,,,100
Togo,TGO,2017,60.17,76.02,55.63
Togo,TGO,2020,60.17,76.02,55.63
Tunisia,TUN,2017,80,100,0
Tunisia,TUN,2020,80.47,100,0
Turkmenistan,TKM,2020,,,66.02
Uganda,UGA,2017,83.56,0,97.54
Uganda,UGA,2020,84.93,0,98.47
Ukraine,UKR,2020,60.59,100,57.41
Ukraine,UKR,2017,,,36.9
United Arab Emirates,ARE,2020,0,0,0
United Kingdom,GBR,2017,0,0,0
United Kingdom,GBR,2020,0,0,0
Uzbekistan,UZB,2020,69.59,0,100
Uzbekistan,UZB,2017,,,59.28
Venezuela,VEN,2017,3.51,0,6.96
Venezuela,VEN,2020,3.51,0,6.96
Vietnam,VNM,2020,,0,30.46
Vietnam,VNM,2018,,,29.29
World,OWID_WRL,2017,59.16,48.52,63.28
World,OWID_WRL,2020,58.09,41.48,65.13
Zambia,ZMB,2017,70.03,0,76.79
Zambia,ZMB,2020,70.03,0,76.79
Zimbabwe,ZWE,2020,69.9,43.73,72.76
Zimbabwe,ZWE,2017,,,76.24
