Entity,Code,Year,"12.4.1 - Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals - SG_HAZ_CMRBASEL","12.4.1 - Parties meeting their commitments and obligations in transmitting information as required by Rotterdam Convention on hazardous waste, and other chemicals - SG_HAZ_CMRROTDAM","12.4.1 - Parties meeting their commitments and obligations in transmitting information as required by Montreal Protocol on hazardous waste, and other chemicals - SG_HAZ_CMRMNTRL","12.4.1 - Parties meeting their commitments and obligations in transmitting information as required by Stockholm Convention on hazardous waste, and other chemicals - SG_HAZ_CMRSTHOLM"
Afghanistan,AFG,2015,16.67,9.8,100,16.67
Afghanistan,AFG,2020,40,8.62,100,50
Africa,,2015,40.71,55.18,100,45.51
Africa,,2020,46.92,66.8,100,44.47
Albania,ALB,2015,33.33,92.16,100,50
Albania,ALB,2020,80,96.55,100,75
Algeria,DZA,2015,66.67,,100,50
Algeria,DZA,2020,100,,100,62.5
Americas,,2015,61.27,66.42,100,55.39
Americas,,2020,61.88,73.58,100,54.69
Andorra,AND,2015,100,,100,
Andorra,AND,2020,80,,100,
Angola,AGO,2015,,9.8,100,33.33
Angola,AGO,2020,,,100,25
Antigua and Barbuda,ATG,2015,16.67,31.37,100,50
Antigua and Barbuda,ATG,2020,20,39.66,100,25
Argentina,ARG,2015,100,80.39,100,66.67
Argentina,ARG,2020,80,86.21,100,100
Armenia,ARM,2015,100,37.25,100,66.67
Armenia,ARM,2020,100,81.03,100,62.5
Asia,,2015,58.16,63.62,100,54.26
Asia,,2020,65.53,70.73,99.58333,49.11
Australia,AUS,2015,100,100,100,100
Australia,AUS,2020,100,96.55,100,100
Australia and New Zealand,,2015,100,95.1,100,83.33
Australia and New Zealand,,2020,100,87.93,100,100
Austria,AUT,2015,100,100,100,100
Austria,AUT,2020,100,96.55,100,50
Azerbaijan,AZE,2015,100,,100,50
Azerbaijan,AZE,2020,100,,100,37.5
Bahamas,BHS,2015,16.67,,100,16.67
Bahamas,BHS,2020,20,,100,12.5
Bahrain,BHR,2015,100,41.18,100,66.67
Bahrain,BHR,2020,60,89.66,100,75
Bangladesh,BGD,2015,50,,100,66.67
Bangladesh,BGD,2020,60,,100,87.5
Barbados,BRB,2015,100,9.8,100,33.33
Barbados,BRB,2020,80,,100,25
Belarus,BLR,2015,50,,100,66.67
Belarus,BLR,2020,20,,100,25
Belgium,BEL,2015,100,100,100,100
Belgium,BEL,2020,100,96.55,100,87.5
Belize,BLZ,2015,16.67,84.31,100,33.33
Belize,BLZ,2020,20,74.14,100,25
Benin,BEN,2015,16.67,78.43,100,33.33
Benin,BEN,2020,20,77.59,100,37.5
Bhutan,BTN,2015,100,,100,
Bhutan,BTN,2020,100,,100,
Bolivia,BOL,2015,100,31.37,100,50
Bolivia,BOL,2020,100,27.59,100,62.5
Bosnia and Herzegovina,BIH,2015,50,72.55,100,33.33
Bosnia and Herzegovina,BIH,2020,80,91.38,100,62.5
Botswana,BWA,2015,16.67,9.8,100,33.33
Botswana,BWA,2020,20,8.62,100,37.5
Brazil,BRA,2015,66.67,100,100,66.67
Brazil,BRA,2020,100,89.66,100,62.5
Brunei,BRN,2015,16.67,,100,66.67
Brunei,BRN,2020,100,,100,
Bulgaria,BGR,2015,100,100,100,100
Bulgaria,BGR,2020,100,96.55,100,62.5
Burkina Faso,BFA,2015,16.67,86.27,100,33.33
Burkina Faso,BFA,2020,20,96.55,100,25
Burundi,BDI,2015,16.67,66.67,100,33.33
Burundi,BDI,2020,20,62.07,100,50
Cambodia,KHM,2015,33.33,9.8,100,66.67
Cambodia,KHM,2020,20,63.79,100,62.5
Cameroon,CMR,2015,16.67,35.29,100,83.33
Cameroon,CMR,2020,20,96.55,100,75
Canada,CAN,2015,100,100,100,83.33
Canada,CAN,2020,100,98.28,100,100
Cape Verde,CPV,2015,66.67,100,100,33.33
Cape Verde,CPV,2020,100,96.55,100,62.5
Caribbean,,2015,50,44.51,100,43.06
Caribbean,,2020,50.91,,100,32.95
Central African Republic,CAF,2015,66.67,,100,66.67
Central African Republic,CAF,2020,40,,100,25
Central America,,2015,64.58,77.94,100,58.33
Central America,,2020,70,82.33,100,60.94
Central Asia,,2015,46.67,,100,
Central Asia,,2020,44,,100,31.25
Central and Southern Asia,,2015,58.33,,100,51.52
Central and Southern Asia,,2020,55.71,,100,46.88
Chad,TCD,2015,16.67,100,100,33.33
Chad,TCD,2020,20,94.83,100,25
Chile,CHL,2015,50,92.16,100,50
Chile,CHL,2020,20,81.03,100,50
China,CHN,2015,100,98.04,100,50
China,CHN,2020,100,96.55,100,100
Colombia,COL,2015,100,92.16,100,66.67
Colombia,COL,2020,100,93.1,100,87.5
Comoros,COM,2015,50,,100,33.33
Comoros,COM,2020,20,,100,25
Congo,COG,2015,83.33,37.25,100,33.33
Congo,COG,2020,40,51.72,100,25
Cook Islands,COK,2015,16.67,100,100,33.33
Cook Islands,COK,2020,20,96.55,100,25
Costa Rica,CRI,2015,66.67,70.59,100,66.67
Costa Rica,CRI,2020,100,96.55,100,62.5
Cote d'Ivoire,CIV,2015,100,80.39,100,50
Cote d'Ivoire,CIV,2020,100,72.41,100,75
Croatia,HRV,2015,100,100,100,66.67
Croatia,HRV,2020,100,96.55,100,75
Cuba,CUB,2015,66.67,88.24,100,50
Cuba,CUB,2020,100,86.21,100,37.5
Cyprus,CYP,2015,100,100,100,100
Cyprus,CYP,2020,80,96.55,100,100
Czechia,CZE,2015,100,100,100,66.67
Czechia,CZE,2020,100,96.55,100,87.5
Democratic Republic of Congo,COD,2015,33.33,92.16,100,66.67
Democratic Republic of Congo,COD,2020,100,81.03,100,37.5
Denmark,DNK,2015,100,100,100,83.33
Denmark,DNK,2020,80,96.55,100,100
Djibouti,DJI,2015,16.67,9.8,100,33.33
Djibouti,DJI,2020,40,8.62,100,25
Dominica,DMA,2015,33.33,31.37,100,33.33
Dominica,DMA,2020,20,27.59,100,25
Dominican Republic,DOM,2015,100,100,100,33.33
Dominican Republic,DOM,2020,60,87.93,100,25
Eastern Africa,,2015,36.27,52.45,100,47.06
Eastern Africa,,2020,40,54.71,100,45.59
Eastern Asia,,2015,46.67,78.43,100,56.67
Eastern Asia,,2020,48,73.1,100,62.5
Eastern Europe,,2015,80,78.65,100,73.33
Eastern Europe,,2020,70,85.82,100,58.75
Eastern and South-Eastern Asia,,2015,51.04,67.79,100,58.33
Eastern and South-Eastern Asia,,2020,62.5,74.01,100,52.68
Ecuador,ECU,2015,16.67,88.24,100,66.67
Ecuador,ECU,2020,20,77.59,100,37.5
Egypt,EGY,2015,66.67,,100,50
Egypt,EGY,2020,100,,100,25
El Salvador,SLV,2015,50,92.16,100,66.67
El Salvador,SLV,2020,60,96.55,100,50
Equatorial Guinea,GNQ,2015,16.67,9.8,100,
Equatorial Guinea,GNQ,2020,20,94.83,100,
Eritrea,ERI,2015,66.67,92.16,100,66.67
Eritrea,ERI,2020,60,81.03,100,25
Estonia,EST,2015,100,100,100,83.33
Estonia,EST,2020,100,96.55,100,87.5
Eswatini,SWZ,2015,83.33,9.8,100,50
Eswatini,SWZ,2020,100,70.69,100,25
Ethiopia,ETH,2015,16.67,64.71,100,50
Ethiopia,ETH,2020,60,55.17,100,25
Europe,,2015,80.95,88.44,100,72.36
Europe,,2020,78.57,93.1,99.54545,60.31
Europe and Northern America,,2015,79.92,86.76,100,72.48
Europe and Northern America,,2020,79.07,93.24,99.56522,61.28
Fiji,FJI,2015,,,100,33.33
Fiji,FJI,2020,,,100,25
Finland,FIN,2015,100,100,100,100
Finland,FIN,2020,100,96.55,100,62.5
France,FRA,2015,50,100,100,100
France,FRA,2020,100,96.55,100,50
Gabon,GAB,2015,16.67,17.65,100,50
Gabon,GAB,2020,20,75.86,100,25
Gambia,GMB,2015,16.67,100,100,33.33
