Entity,Code,Year,15.2.1 - Annual forest area change rate (%) - AG_LND_FRSTCHG
Afghanistan,AFG,2010,0
Afghanistan,AFG,2020,0
Africa,,2010,-0.49
Africa,,2020,-0.6
Albania,ALB,2010,0.16477
Albania,ALB,2020,0.08699
Algeria,DZA,2010,1.96395
Algeria,DZA,2020,0.16046
American Samoa,ASM,2010,-0.17051
American Samoa,ASM,2020,-0.17346
Americas,,2010,-0.31
Americas,,2020,-0.17
Andorra,AND,2010,0
Andorra,AND,2020,0
Angola,AGO,2010,-0.73834
Angola,AGO,2020,-0.79723
Anguilla,AIA,2010,0
Anguilla,AIA,2020,0
Antigua and Barbuda,ATG,2010,-0.73269
Antigua and Barbuda,ATG,2020,-0.77842
Argentina,ARG,2010,-0.99097
Argentina,ARG,2020,-0.55688
Armenia,ARM,2010,-0.06271
Armenia,ARM,2020,-0.06341
Aruba,ABW,2010,0
Aruba,ABW,2020,0
Asia,,2010,0.39
Asia,,2020,0.19
Australia,AUS,2010,-0.17341
Australia,AUS,2020,0.33898
Australia and New Zealand,,2010,-0.16
Australia and New Zealand,,2020,0.32
Austria,AUT,2010,0.0651
Austria,AUT,2020,0.09267
Azerbaijan,AZE,2010,0.44941
Azerbaijan,AZE,2020,0.92228
Bahamas,BHS,2010,0
Bahamas,BHS,2020,0
Bahrain,BHR,2010,3.46183
Bahrain,BHR,2020,3.01714
Bangladesh,BGD,2010,-0.16783
Bangladesh,BGD,2020,-0.0262
Barbados,BRB,2010,0
Barbados,BRB,2020,0
Belarus,BLR,2010,0.42337
Belarus,BLR,2020,0.15831
Belgium,BEL,2010,0.33319
Belgium,BEL,2020,-0.00827
Belize,BLZ,2010,-0.4754
Belize,BLZ,2020,-0.85384
Benin,BEN,2010,-1.28046
Benin,BEN,2020,-1.46884
Bermuda,BMU,2010,0
Bermuda,BMU,2020,0
Bhutan,BTN,2010,0.37463
Bhutan,BTN,2020,0.07291
Bolivia,BOL,2010,-0.37192
Bolivia,BOL,2020,-0.43259
Bonaire Sint Eustatius and Saba,BES,2010,0
Bonaire Sint Eustatius and Saba,BES,2020,0
Bosnia and Herzegovina,BIH,2010,-0.04266
Bosnia and Herzegovina,BIH,2020,0.39823
Botswana,BWA,2010,-0.69256
Botswana,BWA,2020,-0.74412
Brazil,BRA,2010,-0.74114
Brazil,BRA,2020,-0.29637
British Virgin Islands,VGB,2010,-0.08205
British Virgin Islands,VGB,2020,-0.05508
Brunei,BRN,2010,-0.43669
Brunei,BRN,2020,0
Bulgaria,BGR,2010,1.02409
Bulgaria,BGR,2020,0.40981
Burkina Faso,BFA,2010,-0.71546
Burkina Faso,BFA,2020,-0.77078
Burundi,BDI,2010,0
Burundi,BDI,2020,3.72733
Cambodia,KHM,2010,-0.17932
Cambodia,KHM,2020,-2.68223
Cameroon,CMR,2010,-0.32751
Cameroon,CMR,2020,-0.27122
Canada,CAN,2010,-0.0138
Canada,CAN,2020,-0.01135
Cape Verde,CPV,2010,0.73078
Cape Verde,CPV,2020,0.68099
Caribbean,,2010,0.97
Caribbean,,2020,0.51
Cayman Islands,CYM,2010,-0.16361
Cayman Islands,CYM,2020,0
Central African Republic,CAF,2010,-0.13177
Central African Republic,CAF,2020,-0.13353
Central America,,2010,-0.38
Central America,,2020,-0.29
Central Asia,,2010,0.3
Central Asia,,2020,0.65
Central and Southern Asia,,2010,0.3
Central and Southern Asia,,2020,0.29
Chad,TCD,2010,-1.37781
Chad,TCD,2020,-2.45491
Chile,CHL,2010,0.55987
Chile,CHL,2020,0.85452
China,CHN,2010,1.25999
China,CHN,2020,0.9259
Colombia,COL,2010,-0.31161
Colombia,COL,2020,-0.2774
Comoros,COM,2010,-1.10414
Comoros,COM,2020,-1.24136
Congo,COG,2010,-0.0542
Congo,COG,2020,-0.05859
Cook Islands,COK,2010,0.01284
Cook Islands,COK,2020,0
Costa Rica,CRI,2010,0.04882
Costa Rica,CRI,2020,0.55592
Cote d'Ivoire,CIV,2010,-2.47388
Cote d'Ivoire,CIV,2020,-3.29458
Croatia,HRV,2010,0.18414
Croatia,HRV,2020,0.09909
Cuba,CUB,2010,1.87474
Cuba,CUB,2020,1.01012
Curacao,CUW,2010,0
Curacao,CUW,2020,0
Cyprus,CYP,2010,0.07144
Cyprus,CYP,2020,-0.01795
Czechia,CZE,2010,0.07592
Czechia,CZE,2020,0.07392
Democratic Republic of Congo,COD,2010,-0.47783
Democratic Republic of Congo,COD,2020,-0.83351
Denmark,DNK,2010,0.25749
Denmark,DNK,2020,0.69324
Djibouti,DJI,2010,0
Djibouti,DJI,2020,0.35153
Dominica,DMA,2010,0
Dominica,DMA,2020,0
Dominican Republic,DOM,2010,0.49892
Dominican Republic,DOM,2020,0.33722
Eastern Africa,,2010,-0.47
Eastern Africa,,2020,-0.55
Eastern Asia,,2010,0.97
Eastern Asia,,2020,0.73
Eastern Europe,,2010,0.08
Eastern Europe,,2020,0.01
Eastern and South-Eastern Asia,,2010,0.41
Eastern and South-Eastern Asia,,2020,0.15
Ecuador,ECU,2010,-0.52367
Ecuador,ECU,2020,-0.41474
Egypt,EGY,2010,1.03628
Egypt,EGY,2020,-3.70914
El Salvador,SLV,2010,-0.68873
El Salvador,SLV,2020,-0.7397
Equatorial Guinea,GNQ,2010,-0.3242
Equatorial Guinea,GNQ,2020,-0.33514
Eritrea,ERI,2010,-0.28619
Eritrea,ERI,2020,-0.29462
Estonia,EST,2010,0.42559
Estonia,EST,2020,0.42986
Eswatini,SWZ,2010,0.2538
Eswatini,SWZ,2020,0.24712
Ethiopia,ETH,2010,-0.40115
Ethiopia,ETH,2020,-0.41792
Europe,,2010,0.12
Europe,,2020,0.03
Europe and Northern America,,2010,0.1
Europe and Northern America,,2020,0.02
Faeroe Islands,FRO,2010,0
Faeroe Islands,FRO,2020,0
Fiji,FJI,2010,0.6444
Fiji,FJI,2020,0.60546
Finland,FIN,2010,-0.0911
Finland,FIN,2020,0.07483
France,FRA,2010,0.71626
France,FRA,2020,0.4967
French Guiana,GUF,2010,-0.05327
French Guiana,GUF,2020,-0.04195
French Polynesia,PYF,2010,0.06109
French Polynesia,PYF,2020,0
Gabon,GAB,2010,-0.02137
Gabon,GAB,2020,-0.05035
Gambia,GMB,2010,-1.73357
Gambia,GMB,2020,-2.09847
Georgia,GEO,2010,0.22164
Georgia,GEO,2020,0
Germany,DEU,2010,0.04834
Germany,DEU,2020,0.00876
Ghana,GHA,2010,-1.07397
Ghana,GHA,2020,0.05373
Greece,GRC,2010,0.80766
Greece,GRC,2020,-0.00001
Greenland,GRL,2010,0
Greenland,GRL,2020,0
Grenada,GRD,2010,0
Grenada,GRD,2020,0
Guadeloupe,GLP,2010,-0.10008
Guadeloupe,GLP,2020,0.05159
Guam,GUM,2010,0
Guam,GUM,2020,1.55345
Guatemala,GTM,2010,-1.22099
Guatemala,GTM,2020,-0.53604
Guernsey,GGY,2010,6.20676
Guernsey,GGY,2020,0
Guinea,GIN,2010,-0.53212
Guinea,GIN,2020,-0.59411
Guinea-Bissau,GNB,2010,-0.40012
Guinea-Bissau,GNB,2020,-0.41665
Guyana,GUY,2010,-0.02395
Guyana,GUY,2020,-0.05655
Haiti,HTI,2010,-0.0598
Haiti,HTI,2020,-0.85344
Honduras,HND,2010,-0.3033
Honduras,HND,2020,-0.33378
Hungary,HUN,2010,0.63343
Hungary,HUN,2020,0.0323
Iceland,ISL,2010,4.12051
Iceland,ISL,2020,1.40338
India,IND,2010,0.27833
India,IND,2020,0.37688
Indonesia,IDN,2010,-0.1612
Indonesia,IDN,2020,-0.78214
Iran,IRN,2010,1.37663
Iran,IRN,2020,0.05587
Iraq,IRQ,2010,0.08525
Iraq,IRQ,2020,0
Ireland,IRL,2010,1.34383
Ireland,IRL,2020,0.82439
Isle of Man,IMN,2010,0
Isle of Man,IMN,2020,0
Israel,ISR,2010,0.06517
Israel,ISR,2020,-0.94857
Italy,ITA,2010,0.76059
Italy,ITA,2020,0.58061
Jamaica,JAM,2010,0.69657
Jamaica,JAM,2020,0.6679
Japan,JPN,2010,0.03612
Japan,JPN,2020,-0.01242
Jersey,JEY,2010,0
Jersey,JEY,2020,0
Jordan,JOR,2010,0
Jordan,JOR,2020,0
Kazakhstan,KAZ,2010,-0.23933
Kazakhstan,KAZ,2020,1.14746
Kenya,KEN,2010,-0.90668
Kenya,KEN,2020,-0.01453
Kiribati,KIR,2010,0
Kiribati,KIR,2020,0
Kuwait,KWT,2010,2.56846
Kuwait,KWT,2020,0
Kyrgyzstan,KGZ,2010,0.40559
Kyrgyzstan,KGZ,2020,0.67599
Landlocked developing countries (LLDCs),,2010,-0.36
Landlocked developing countries (LLDCs),,2020,-0.43
Laos,LAO,2010,-0.28159
Laos,LAO,2020,-0.20554
Latin America and the Caribbean,,2010,-0.55
Latin America and the Caribbean,,2020,-0.29
Latvia,LVA,2010,0.39738
Latvia,LVA,2020,0.11409
Least developed countries (LDCs),,2010,-0.52
Least developed countries (LDCs),,2020,-0.7
Lebanon,LBN,2010,-0.06023
Lebanon,LBN,2020,0.42708
Lesotho,LSO,2010,0
Lesotho,LSO,2020,0
Liberia,LBR,2010,-0.37425
Liberia,LBR,2020,-0.3888
Libya,LBY,2010,0
Libya,LBY,2020,0
Liechtenstein,LIE,2010,-0.00119
Liechtenstein,LIE,2020,0.00119
Lithuania,LTU,2010,0.71887
Lithuania,LTU,2020,0.14195
Luxembourg,LUX,2010,0.22832
Luxembourg,LUX,2020,0
Madagascar,MDG,2010,-0.36564
Madagascar,MDG,2020,-0.10572
Malawi,MWI,2010,-1.45448
Malawi,MWI,2020,-1.70264
Malaysia,MYS,2010,-0.38426
Malaysia,MYS,2020,0.08747
Maldives,MDV,2010,0
Maldives,MDV,2020,0
Mali,MLI,2010,0
Mali,MLI,2020,0
